year,team,probowler_count,win%,division,playoffs,attendance,capacity,attend%,climate,year 1 attend%,year 1 attendance
2013,det,-0.6580083464217319,-0.3374767992675478,0.4626480036951401,-0.6414960643497905,63796.0,-0.8409957491860961,0.99,-1.212874291291809,0.98,63024.0
2014,det,0.5826327773269824,0.967433491233637,-0.43608448195187843,0.11561847671420634,63024.0,-0.8585738987549523,0.98,-1.212874291291809,0.94,61347.0
2015,det,-0.6580083464217319,-0.3374767992675478,0.4626480036951401,-0.6414960643497905,61347.0,-0.7299695943860617,0.94,-1.212874291291809,0.94,60792.0
2016,det,-1.0715553876713033,0.3149783459830446,-0.43608448195187843,0.11561847671420634,60792.0,-0.8096822794530006,0.94,-1.212874291291809,0.99,64137.0
2017,det,-0.6580083464217319,0.3149783459830446,-0.43608448195187843,-0.6414960643497905,64137.0,-0.7944926932731701,0.99,-1.212874291291809,0.97,62795.0
2018,det,-0.6580083464217319,-0.6637043718928439,1.3613804893421588,-0.6414960643497905,62795.0,-0.8009373529552712,0.97,-1.212874291291809,0.951,61342.0
2006,gnb,-0.6580083464217319,-0.011249226642251609,-0.43608448195187843,-0.6414960643497905,70718.0,-1.3103690701856654,1.16,0.8282737388200024,1.17,70805.0
2007,gnb,0.5826327773269824,1.6198886364842293,-1.3348169675988968,1.6298475588421997,70805.0,-1.3706774099601349,1.17,0.8282737388200024,0.97,70682.0
2008,gnb,-0.24446130517216047,-0.6637043718928439,0.4626480036951401,-0.6414960643497905,70682.0,0.29681004241125764,0.97,0.8282737388200024,0.97,70708.0
2009,gnb,0.16908573607741093,0.967433491233637,-0.43608448195187843,0.11561847671420634,70708.0,0.30042883691861666,0.97,0.8282737388200024,0.97,70795.0
2010,gnb,0.9961798185765537,0.6412059186083408,-0.43608448195187843,3.1440766409701935,70795.0,0.31253788007785027,0.97,0.8282737388200024,0.97,70512.0
2011,gnb,1.4097268598261252,2.272343781734822,-1.3348169675988968,0.8727330177782031,70512.0,0.27314869370930445,0.97,0.8282737388200024,0.97,70507.0
2012,gnb,0.16908573607741093,0.967433491233637,-1.3348169675988968,0.8727330177782031,70507.0,0.27245277168865795,0.97,0.8282737388200024,1.07,77947.0
2013,gnb,-1.0715553876713033,0.1518645596703965,-1.3348169675988968,0.11561847671420634,77947.0,0.2940588740492662,1.07,0.8282737388200024,1.07,78139.0
2014,gnb,1.4097268598261252,1.2936610638589332,-1.3348169675988968,1.6298475588421997,78139.0,0.31828476510067677,1.07,0.8282737388200024,1.07,78413.0
2015,gnb,0.5826327773269824,0.6412059186083408,-0.43608448195187843,0.8727330177782031,78413.0,0.35285713045529693,1.07,0.8282737388200024,0.96,78215.0
2016,gnb,0.16908573607741093,0.6412059186083408,-1.3348169675988968,1.6298475588421997,78215.0,1.4586852021427466,0.96,0.8282737388200024,1.07,78092.0
