year,team,probowler_count,win%,division,playoffs,attendance,capacity,attend%,climate,year 1 attend%,year 1 attendance,predicted,difference
2007,crd,-0.6580083464217319,-0.011249226642251607,-0.4360844819518784,-0.6414960643497905,64580.0,-0.9931073493622012,1.02,1.848847753875908,1.01,64096.0,59251.756618750514,4844.2433812494855
2010,crd,-0.2444613051721605,-0.9899319445181402,1.3613804893421588,-0.6414960643497905,62774.0,-0.9803685443268846,0.99,1.848847753875908,0.97,61181.0,56341.39114219248,4839.608857807521
2016,phi,0.16908573607741093,-0.3374767992675478,1.3613804893421588,-0.6414960643497905,69596.0,-0.4186167130810464,1.03,-0.1923002762359031,1.0,69596.0,64813.35278979201,4782.647210207993
2017,htx,-0.6580083464217319,-1.3161595171434366,0.4626480036951401,-0.6414960643497905,71774.0,0.05316291976127338,1.01,-0.1923002762359031,1.0,71804.0,67060.42052727236,4743.579472727637
2016,car,0.5826327773269824,-0.6637043718928439,1.3613804893421588,-0.6414960643497905,73792.0,0.4215526727679584,1.0,-0.1923002762359031,1.0,73617.0,68917.84195334412,4699.158046655881
2006,htx,-1.071555387671303,-0.6637043718928439,1.3613804893421588,-0.6414960643497905,70183.0,-0.15950947168464902,1.01,-0.1923002762359031,1.02,70519.0,65822.1148654505,4696.885134549506
2012,crd,-0.2444613051721605,-0.9899319445181402,1.3613804893421588,-0.6414960643497905,60890.0,-0.9778030348272888,0.96,1.848847753875908,0.96,61033.0,56357.12137199135,4675.87862800865
2016,sfo,-1.4851024289208747,-1.9686146623940288,1.3613804893421588,-0.6414960643497905,70178.0,-0.2521468930038886,1.02,-1.723161298819761,1.02,70144.0,65505.89446653164,4638.105533468362
2015,mia,0.5826327773269824,-0.6637043718928439,1.3613804893421588,-0.6414960643497905,67193.0,-0.7335937222350782,1.03,1.338560746347955,1.0,65512.0,60908.10447126585,4603.895528734152
2012,kan,0.9961798185765536,-1.9686146623940288,1.3613804893421588,-0.6414960643497905,68508.0,0.8513238362011706,0.89,-0.1923002762359031,0.98,75359.0,70821.17506300144,4537.824936998557
2018,gnb,-0.6580083464217319,-0.5005905855801959,0.4626480036951401,-0.6414960643497905,77834.0,1.4051035560656566,0.96,0.8282737388200024,0.956,77845.0,73356.73454027837,4488.2654597216315
2018,crd,-1.071555387671303,-1.6423870897687327,1.3613804893421588,-0.6414960643497905,62013.0,-0.7280691895471972,0.95,1.848847753875908,0.943,61323.0,56838.46416697286,4484.535833027141
2007,htx,-1.071555387671303,-0.011249226642251607,1.3613804893421588,-0.6414960643497905,70519.0,-0.20701157402957712,1.02,-0.1923002762359031,0.99,70420.0,66068.08530280871,4351.914697191285
2018,den,0.16908573607741093,-0.6637043718928439,0.4626480036951401,-0.6414960643497905,76446.0,0.7798662190699344,1.0,-0.1923002762359031,0.998,75937.0,71610.79036194911,4326.209638050888
2016,den,0.9961798185765536,0.3149783459830446,0.4626480036951401,-0.6414960643497905,76774.0,0.7215236722625892,1.01,-0.1923002762359031,1.0,76355.0,72028.79170366802,4326.2082963319845
2006,den,-0.2444613051721605,0.3149783459830446,0.4626480036951401,-0.6414960643497905,76347.0,0.7665003407414129,1.0,-0.1923002762359031,1.01,76611.0,72305.7607795088,4305.239220491203
2006,cle,-1.4851024289208747,-1.3161595171434366,1.3613804893421588,-0.6414960643497905,72334.0,0.12801932404141986,1.01,-1.2128742912918091,1.01,73000.0,68702.27547080233,4297.724529197672
2013,atl,-1.071555387671303,-1.3161595171434366,0.4626480036951401,-0.6414960643497905,70224.0,0.03560731066223533,0.99,-0.1923002762359031,0.99,70502.0,66208.39022811882,4293.60977188118
