Team Name,Games ,Total,Average,Percentage,Year
Atlanta,8,"545,389","68,173",96,2009
Los Angeles Chargers,8,"540,345","67,543",95,2009
Cleveland,8,"551,110","68,888",94,2009
Washington,8,"678,352","84,794",93,2009
Miami,8,"540,342","67,542",90,2009
Kansas City,8,"540,114","67,514",88,2009
Los Angeles Rams,8,"441,901","55,237",85,2009
Detroit,8,"395,162","49,395",77,2009
Jacksonville,8,"397,214","49,651",74,2009
Las Vegas,8,"354,276","44,284",70,2009
Indianapolis,8,"531,026","66,378",105,2008
Philadelphia,8,"553,152","69,144",102,2008
Seattle,8,"543,965","67,995",102,2008
Arizona,8,"512,775","64,096",101,2008
Chicago,8,"496,276","62,034",101,2008
Baltimore,8,"570,152","71,269",100,2008
Tennessee,8,"553,144","69,143",100,2008
New England,8,"550,048","68,756",100,2008
Cleveland,8,"582,230","72,778",99,2008
Carolina,8,"585,684","73,210",99,2008
Denver,8,"604,074","75,509",99,2008
Houston,8,"563,364","70,420",99,2008
Minnesota,8,"506,136","63,267",99,2008
Cincinnati,8,"516,663","64,582",99,2008
Tampa Bay,8,"516,088","64,511",98,2008
Buffalo,7,"499,835","71,405",98,2008
Jacksonville,8,"521,338","65,167",97,2008
Green Bay,8,"565,460","70,682",97,2008
Pittsburgh,8,"503,125","62,890",97,2008
Washington,8,"708,835","88,604",97,2008
Kansas City,8,"592,622","74,077",97,2008
San Francisco,8,"540,103","67,512",96,2008
Dallas,8,"506,944","63,368",96,2008
New Orleans,7,"490,650","70,092",96,2008
NY Giants,8,"632,554","79,069",96,2008
Los Angeles Chargers,8,"545,107","68,138",96,2008
NY Jets,8,"627,858","78,482",95,2008
Los Angeles Rams,8,"479,843","59,980",92,2008
Las Vegas,8,"462,800","57,850",92,2008
Atlanta,8,"512,527","64,065",90,2008
Miami,8,"523,919","65,489",87,2008
Detroit,8,"435,979","54,497",85,2008
Green Bay,8,"566,443","70,805",117,2007
Washington,8,"704,722","88,090",110,2007
Philadelphia,8,"545,357","68,169",103,2007
Baltimore,8,"569,226","71,153",103,2007
Tennessee,8,"553,144","69,143",103,2007
Arizona,8,"516,646","64,580",102,2007
Seattle,8,"545,551","68,193",102,2007
Houston,8,"564,159","70,519",102,2007
Cleveland,8,"584,006","73,000",101,2007
New England,8,"550,048","68,756",101,2007
Denver,8,"612,893","76,611",101,2007
Cincinnati,8,"526,320","65,790",100,2007
Carolina,8,"587,221","73,402",100,2007
NY Giants,8,"629,848","78,731",100,2007
Tampa Bay,8,"522,530","65,316",100,2007
Los Angeles Rams,8,"514,354","64,294",98,2007
NY Jets,8,"616,855","77,106",98,2007
Buffalo,8,"568,437","71,054",97,2007
Jacksonville,8,"522,410","65,301",97,2007
San Francisco,8,"544,226","68,028",97,2007
Kansas City,8,"614,217","76,777",97,2007
Dallas,8,"508,278","63,534",97,2007
Atlanta,8,"547,167","68,395",96,2007
New Orleans,8,"560,036","70,004",96,2007
Pittsburgh,8,"496,675","62,084",96,2007
Detroit,8,"490,436","61,304",94,2007
Chicago,8,"497,267","62,158",93,2007
Los Angeles Chargers,8,"524,019","65,502",92,2007
Miami,-,-,-,-,2007
Minnesota,-,-,-,-,2007
Indianapolis,-,-,-,-,2007
Las Vegas,-,-,-,-,2007
Green Bay,8,"565,749","70,718",116,2006
Washington,8,"701,049","87,631",109,2006
Philadelphia,8,"553,794","69,224",105,2006
Tennessee,8,"553,144","69,143",103,2006
Baltimore,8,"566,547","70,818",103,2006
Seattle,8,"543,820","67,977",102,2006
New England,8,"550,048","68,756",101,2006
Houston,8,"561,469","70,183",101,2006
Cincinnati,8,"527,870","65,983",101,2006
Cleveland,8,"578,672","72,334",101,2006
Carolina,8,"588,543","73,567",100,2006
Denver,8,"610,782","76,347",100,2006
Arizona,8,"508,829","63,603",100,2006
Los Angeles Rams,8,"522,610","65,326",100,2006
Tampa Bay,8,"524,661","65,582",100,2006
NY Giants,8,"628,910","78,613",100,2006
Jacksonville,8,"534,866","66,858",100,2006
Atlanta,8,"563,462","70,432",99,2006
NY Jets,8,"618,575","77,321",98,2006
Kansas City,8,"623,275","77,909",98,2006
San Francisco,8,"545,207","68,150",97,2006
Pittsburgh,8,"499,461","62,432",96,2006
Dallas,8,"506,308","63,288",96,2006
New Orleans,8,"550,470","68,808",94,2006
Detroit,8,"487,116","60,889",94,2006
Los Angeles Chargers,8,"531,031","66,378",93,2006
Chicago,8,"497,786","62,223",93,2006
Buffalo,8,"541,169","67,646",93,2006
Miami,-,-,-,-,2006
Minnesota,-,-,-,-,2006
Indianapolis,-,-,-,-,2006
Las Vegas,-,-,-,-,2006
